,level_0,index,job,sex,year_x,count_x,perc,year_y,count_y,std,together
0,115,220,Mathematician,men,1960,5874,6.758910024600001e-05,47.483814544307265,2019.6711533851476,1.908167454755485e-05,0.00010426027193200001
1,117,222,Mathematician,men,1980,5543,4.3135234102000005e-05,47.483814544307265,2019.6711533851476,1.908167454755485e-05,5.3415162705e-05
2,118,223,Mathematician,men,1990,4668,3.1302455544e-05,47.483814544307265,2019.6711533851476,1.908167454755485e-05,4.4392085625e-05
3,119,224,Mathematician,men,2000,0,0.0,47.483814544307265,2019.6711533851476,1.908167454755485e-05,8.508155309733335e-05
4,114,219,Mathematician,men,1950,1618,2.6637727579e-05,47.483814544307265,2019.6711533851476,1.908167454755485e-05,3.7651720008e-05
5,113,218,Mathematician,men,1940,0,0.0,47.483814544307265,2019.6711533851476,1.908167454755485e-05,2.40074542585e-05
6,112,217,Mathematician,men,1930,505,1.0363188509e-05,47.483814544307265,2019.6711533851476,1.908167454755485e-05,1.0363188509e-05
7,111,216,Mathematician,men,1920,0,0.0,47.483814544307265,2019.6711533851476,1.908167454755485e-05,8.031513472e-06
8,110,215,Mathematician,men,1910,0,0.0,47.483814544307265,2019.6711533851476,1.908167454755485e-05,5.699838435000001e-06
9,109,214,Mathematician,men,1900,100,3.368163398e-06,47.483814544307265,2019.6711533851476,1.908167454755485e-05,3.368163398e-06
10,108,213,Mathematician,men,1880,0,0.0,47.483814544307265,2019.6711533851476,1.908167454755485e-05,2.3107435396624998e-05
11,107,212,Mathematician,men,1870,0,0.0,47.483814544307265,2019.6711533851476,1.908167454755485e-05,4.2846707395250005e-05
12,106,211,Mathematician,men,1860,0,0.0,47.483814544307265,2019.6711533851476,1.908167454755485e-05,6.258597939387501e-05
13,105,210,Mathematician,men,1850,0,0.0,47.483814544307265,2019.6711533851476,1.908167454755485e-05,8.23252513925e-05
14,116,221,Mathematician,men,1970,6907,6.3215135521e-05,47.483814544307265,2019.6711533851476,1.908167454755485e-05,8.0622865036e-05
15,0,0,Apprentice - Auto Mechanic,men,1850,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,
16,13,13,Apprentice - Auto Mechanic,men,1990,1800,1.2070355608000001e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,1.2412349016901852e-05
17,12,12,Apprentice - Auto Mechanic,men,1980,3961,3.0824221952e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,3.1758053467845585e-05
18,11,11,Apprentice - Auto Mechanic,men,1970,4106,3.7579462349e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,3.849469523623174e-05
19,10,10,Apprentice - Auto Mechanic,men,1960,2093,2.4083075726e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,2.4083075726e-05
20,9,9,Apprentice - Auto Mechanic,men,1950,5955,9.803934965200001e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,0.00011572100565900001
21,8,8,Apprentice - Auto Mechanic,men,1940,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,6.824421250450002e-05
22,7,7,Apprentice - Auto Mechanic,men,1930,506,1.0383709675000002e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,2.0767419350000003e-05
23,6,6,Apprentice - Auto Mechanic,men,1920,3532,8.411834460300001e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,8.411834460300001e-05
24,5,5,Apprentice - Auto Mechanic,men,1910,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,
25,4,4,Apprentice - Auto Mechanic,men,1900,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,
26,3,3,Apprentice - Auto Mechanic,men,1880,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,
27,2,2,Apprentice - Auto Mechanic,men,1870,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,
28,1,1,Apprentice - Auto Mechanic,men,1860,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,
29,14,14,Apprentice - Auto Mechanic,men,2000,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05,5.58576219472679e-05
30,148,283,Osteopath,men,1990,0,0.0,47.483814544307265,1832.9468394069575,3.312272243306942e-05,3.9130148781818184e-05
31,143,278,Osteopath,men,1940,5657,0.00010872306670400001,47.483814544307265,1832.9468394069575,3.312272243306942e-05,0.00013201674831
32,146,281,Osteopath,men,1970,0,0.0,47.483814544307265,1832.9468394069575,3.312272243306942e-05,4.590590766327273e-05
33,145,280,Osteopath,men,1960,3784,4.3540543978e-05,47.483814544307265,1832.9468394069575,3.312272243306942e-05,4.9293787104e-05
34,144,279,Osteopath,men,1950,6758,0.00011125943324100001,47.483814544307265,1832.9468394069575,3.312272243306942e-05,0.00012070940581800001
35,149,284,Osteopath,men,2000,0,0.0,47.483814544307265,1832.9468394069575,3.312272243306942e-05,3.574226934109091e-05
36,142,277,Osteopath,men,1930,4045,8.3008113904e-05,47.483814544307265,1832.9468394069575,3.312272243306942e-05,0.000134865098783
37,141,276,Osteopath,men,1920,2825,6.728038604300001e-05,47.483814544307265,1832.9468394069575,3.312272243306942e-05,8.892918990600001e-05
38,140,275,Osteopath,men,1910,0,0.0,47.483814544307265,1832.9468394069575,3.312272243306942e-05,4.9550521684500007e-05
39,139,274,Osteopath,men,1900,201,6.770008431e-06,47.483814544307265,1832.9468394069575,3.312272243306942e-05,1.0171853463000001e-05
40,138,273,Osteopath,men,1880,0,0.0,47.483814544307265,1832.9468394069575,3.312272243306942e-05,1.0505461456e-05
41,137,272,Osteopath,men,1870,0,0.0,47.483814544307265,1832.9468394069575,3.312272243306942e-05,1.0839069449000001e-05
42,147,282,Osteopath,men,1980,0,0.0,47.483814544307265,1832.9468394069575,3.312272243306942e-05,4.251802822254546e-05
43,136,271,Osteopath,men,1860,0,0.0,47.483814544307265,1832.9468394069575,3.312272243306942e-05,1.1172677442000002e-05
44,135,270,Osteopath,men,1850,0,0.0,47.483814544307265,1832.9468394069575,3.312272243306942e-05,1.1506285435000002e-05
45,42,72,Apprentice - Mechanic,men,1980,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05,4.7255608833250004e-05
46,44,74,Apprentice - Mechanic,men,2000,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05,4.0908162327750005e-05
47,41,71,Apprentice - Mechanic,men,1970,5309,4.8589713983000006e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05,5.0429332086e-05
48,40,70,Apprentice - Mechanic,men,1960,4784,5.5047030231000005e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05,5.734832748100001e-05
49,38,68,Apprentice - Mechanic,men,1940,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05,4.92763849825e-05
